War,Start Date,End Date,Cause,Participant
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,,Tsardom of Russia
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,,Tsardom of Russia
Russian–Circassian War,1711-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire
Fifth Russo-Turkish War,1736-01-01 00:00:00+00:00,1739-09-18 00:00:00+00:00,,Russian Empire
Russo-Swedish War of 1741-1743,1741-01-01 00:00:00+00:00,1743-01-01 00:00:00+00:00,,Russian Empire
Seven Years' War,1756-05-17 00:00:00+00:00,1763-02-15 00:00:00+00:00,,Russian Empire
Third Silesian War,1756-08-29 00:00:00+00:00,1763-02-15 00:00:00+00:00,,Russian Empire
Pomeranian War,1757-09-13 00:00:00+00:00,1762-05-22 00:00:00+00:00,,Russian Empire
Qing-Kyrgyz War,1758-01-01 00:00:00+00:00,1846-01-01 00:00:00+00:00,,Russian Empire
Russian–Circassian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire
Caucasian War,1763-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,,Russian Empire
Sixth Russo-Turkish War,1768-01-01 00:00:00+00:00,1774-01-01 00:00:00+00:00,,Russian Empire
American-Algerian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,,United States
Northwest Indian War,1785-01-01 00:00:00+00:00,1795-01-01 00:00:00+00:00,,United States
Seventh Russo-Turkish War,1787-08-24 00:00:00+00:00,1792-01-09 00:00:00+00:00,,Russian Empire
Russo-Swedish War of 1788–1790,1788-06-01 00:00:00+00:00,1790-08-01 00:00:00+00:00,,Russian Empire
French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,,Russian Empire
French Revolutionary Wars,1792-04-20 00:00:00+00:00,1802-03-25 00:00:00+00:00,,United States
Polish–Russian War of 1792,1792-05-18 00:00:00+00:00,1792-07-27 00:00:00+00:00,,Russian Empire
Persian Expedition of 1796,1796-04-01 00:00:00+00:00,1796-11-01 00:00:00+00:00,,Russian Empire
War of the Second Coalition,1798-01-01 00:00:00+00:00,1801-01-01 00:00:00+00:00,,Russian Empire
Quasi-War,1798-07-07 00:00:00+00:00,1800-09-30 00:00:00+00:00,,United States
Russian conquest of the Caucasus,1800-12-18 00:00:00+00:00,1864-06-02 00:00:00+00:00,,Russian Empire
Barbary Wars,1801-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,,United States
Russo-Tlingit War,1802-05-01 00:00:00+00:00,1805-01-01 00:00:00+00:00,,Russian-American Company
Russo-Persian War,1804-01-01 00:00:00+00:00,1813-10-24 00:00:00+00:00,,Russian Empire
War of the Third Coalition,1805-01-01 00:00:00+00:00,1806-01-01 00:00:00+00:00,,Russian Empire
Anglo-Russian War,1807-09-02 00:00:00+00:00,1812-07-18 00:00:00+00:00,,Russian Empire
Dano-Swedish War of 1808-1809,1808-03-14 00:00:00+00:00,1809-12-10 00:00:00+00:00,,Russian Empire
Tecumseh's War,1810-08-01 00:00:00+00:00,1813-10-05 00:00:00+00:00,,United States
War of 1812,1812-06-18 00:00:00+00:00,1815-02-18 00:00:00+00:00,,United States
French invasion of Russia,1812-06-24 00:00:00+00:00,1812-12-14 00:00:00+00:00,,Russian Empire
Creek War,1813-01-01 00:00:00+00:00,1814-08-01 00:00:00+00:00,,United States
Seminole Wars,1816-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,,United States
Texas–Indian Wars,1820-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,,United States
Russo-Persian War of 1826–28,1826-07-31 00:00:00+00:00,1828-02-22 00:00:00+00:00,,Russian Empire
November Uprising,1830-11-29 00:00:00+00:00,1831-10-21 00:00:00+00:00,,Russian Empire
Black Hawk War,1832-05-01 00:00:00+00:00,1832-08-01 00:00:00+00:00,,United States
Russian-Chechen War of 1834–1835,1834-01-01 00:00:00+00:00,1835-01-01 00:00:00+00:00,,Russian Empire
Second Seminole War,1835-12-23 00:00:00+00:00,1842-08-14 00:00:00+00:00,,United States
Aroostook War,1838-01-01 00:00:00+00:00,1839-01-01 00:00:00+00:00,,United States
Pastry War,1838-11-27 00:00:00+00:00,1839-03-09 00:00:00+00:00,,United States
Second Egyptian-Ottoman War,1839-01-01 00:00:00+00:00,1841-01-01 00:00:00+00:00,,Russian Empire
Russian conquest of Bukhara,1842-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,,Russian Empire
Mexican-American War,1846-04-24 00:00:00+00:00,1848-02-02 00:00:00+00:00,,United States
Cayuse War,1847-01-01 00:00:00+00:00,1855-01-01 00:00:00+00:00,,United States
Apache Wars,1849-01-01 00:00:00+00:00,1924-01-01 00:00:00+00:00,,United States
Jicarilla War,1849-01-01 00:00:00+00:00,1855-01-01 00:00:00+00:00,,United States
Crimean War,1853-10-01 00:00:00+00:00,1856-02-01 00:00:00+00:00,,Russian Empire
Rogue River Wars,1855-01-01 00:00:00+00:00,1856-01-01 00:00:00+00:00,,United States
Yakima War,1855-01-01 00:00:00+00:00,1858-01-01 00:00:00+00:00,,United States
Second Opium War,1856-01-01 00:00:00+00:00,1860-01-01 00:00:00+00:00,,United States
Pig War,1859-06-15 00:00:00+00:00,1859-10-01 00:00:00+00:00,,United States
Dakota War of 1862,1862-08-17 00:00:00+00:00,1862-12-26 00:00:00+00:00,,United States
Colorado War,1863-01-01 00:00:00+00:00,1865-01-01 00:00:00+00:00,,United States
Ecuadorian–Colombian War,1863-12-06 00:00:00+00:00,1863-12-30 00:00:00+00:00,,United States of Colombia
Red Cloud's War,1866-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,,United States
Modoc War,1872-07-06 00:00:00+00:00,1873-06-04 00:00:00+00:00,,United States
Red River War,1874-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,,United States
Great Sioux War of 1876,1876-01-01 00:00:00+00:00,1877-01-01 00:00:00+00:00,,United States
First Serbian–Ottoman War,1876-06-30 00:00:00+00:00,1878-03-03 00:00:00+00:00,,Russian Empire
Nez Perce War,1877-06-01 00:00:00+00:00,1877-10-01 00:00:00+00:00,,United States
Bannock War,1878-06-01 00:00:00+00:00,1878-09-01 00:00:00+00:00,,United States
Ghost Dance War,1890-12-29 00:00:00+00:00,1891-01-15 00:00:00+00:00,,United States
Banana Wars,1898-01-01 00:00:00+00:00,1934-01-01 00:00:00+00:00,,United States
Second Samoan Civil War,1898-01-01 00:00:00+00:00,1899-01-01 00:00:00+00:00,,United States
Spanish–American War,1898-04-25 00:00:00+00:00,1898-08-11 00:00:00+00:00,,United States
Philippine–American War,1899-02-04 00:00:00+00:00,1902-07-02 00:00:00+00:00,,United States
Russo-Japanese War,1904-02-08 00:00:00+00:00,1905-09-05 00:00:00+00:00,,Russian Empire
Ukrainian–Soviet War,1917-01-01 00:00:00+00:00,1921-01-01 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Russo-Finnish Wars,1917-01-01 00:00:00+00:00,1944-01-01 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Ukrainian–Soviet War,1917-01-01 00:00:00+00:00,1921-01-01 00:00:00+00:00,,Armed Forces of South Russia
Georgian–Ossetian conflict (1918–1920),1918-01-01 00:00:00+00:00,1920-01-01 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
First Soviet-Finnish War,1918-03-01 00:00:00+00:00,1920-10-14 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
First Soviet-Finnish War,1918-05-15 00:00:00+00:00,1920-10-14 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Lithuanian Wars of Independence,1918-12-01 00:00:00+00:00,1919-08-01 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Lithuanian–Soviet War,1918-12-01 00:00:00+00:00,1919-08-01 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Polish–Soviet War,1919-02-01 00:00:00+00:00,1921-03-01 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Lithuanian–Bermontian War,1919-07-01 00:00:00+00:00,1919-12-01 00:00:00+00:00,,West Russian Volunteer Army
War over Mountainous Armenia,1921-04-26 00:00:00+00:00,1921-07-13 00:00:00+00:00,,Russian Soviet Federative Socialist Republic
Yaqui Wars,,1929-01-01 00:00:00+00:00,,United States
Indochina Wars,1946-01-01 00:00:00+00:00,1989-01-01 00:00:00+00:00,,United States
Korean War,1950-06-25 00:00:00+00:00,1953-07-27 00:00:00+00:00,Kim Il-sung,United States
Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,United States
Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,Russia
Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,United States
Gulf War,1990-08-02 00:00:00+00:00,1991-02-28 00:00:00+00:00,,United States
Transnistria War,1990-11-02 00:00:00+00:00,1992-07-21 00:00:00+00:00,,Russia
War in Abkhazia,1992-08-14 00:00:00+00:00,1993-09-27 00:00:00+00:00,,Russia
First Chechen War,1994-12-11 00:00:00+00:00,1996-08-31 00:00:00+00:00,,Russia
Kosovo War,1998-02-27 00:00:00+00:00,1999-06-11 00:00:00+00:00,,United States
War of Dagestan,1999-08-02 00:00:00+00:00,1999-09-14 00:00:00+00:00,,Russia
Second Chechen War,1999-08-26 00:00:00+00:00,2009-04-16 00:00:00+00:00,,Russia
War on Terror,2001-09-11 00:00:00+00:00,,,Russia
War on Terror,2001-09-11 00:00:00+00:00,,,United States
War in Afghanistan (2001–2021),2001-10-07 00:00:00+00:00,2021-08-30 00:00:00+00:00,September 11 attacks,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,human rights,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,September 11 attacks,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,neoconservatism,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,rationale for the Iraq War,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,lodgement,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,Iraq disarmament crisis,United States
Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,fossil fuel,United States
insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,United States
insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,United States Air Force
Iraq War troop surge of 2007,2007-01-10 00:00:00+00:00,2008-07-01 00:00:00+00:00,,United States
Russo-Georgian War,2008-08-07 00:00:00+00:00,2008-08-12 00:00:00+00:00,,Russia
Russo-Ukrainian War,2014-02-20 00:00:00+00:00,,Revolution of Dignity,Russian Armed Forces
2014 Russian invasion of Ukraine,2014-02-20 00:00:00+00:00,2015-02-20 00:00:00+00:00,Q28666633,Russia
Russo-Ukrainian War,2014-02-20 00:00:00+00:00,,eastward expansion of NATO,Russian Armed Forces
Russo-Ukrainian War,2014-02-20 00:00:00+00:00,,dissolution of the Soviet Union,Russian Armed Forces
Russo-Ukrainian War,2014-02-20 00:00:00+00:00,,2003 Tuzla Island conflict,Russian Armed Forces
Russo-Ukrainian War,2014-02-20 00:00:00+00:00,,Russian colonialism,Russian Armed Forces
War in Afghanistan (2015–2021),2015-01-01 00:00:00+00:00,2021-08-30 00:00:00+00:00,,United States
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,2024 Russian presidential election,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,eastward expansion of NATO,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,2024 Russian presidential election,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Ukraine bioweapons conspiracy theory,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,anti-Ukrainian sentiment,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Putin's Plan,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russian irredentism,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,presidency of Viktor Yanukovych,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,decommunization in Ukraine,Russian Armed Forces
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Putin's Plan,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russian irredentism,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,presidency of Viktor Yanukovych,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,decommunization in Ukraine,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,2024 Russian presidential election,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Ukraine bioweapons conspiracy theory,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,eastward expansion of NATO,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,anti-Ukrainian sentiment,Russian irregular forces during the Russian invasion of Ukraine
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,presidency of Viktor Yanukovych,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Putin's Plan,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,anti-Ukrainian sentiment,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,decommunization in Ukraine,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,eastward expansion of NATO,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Ukraine bioweapons conspiracy theory,Russia
Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russian irredentism,Russia
Livonian War,,,,Tsardom of Russia
Russo-Swedish War of 1590–1595,,,,Tsardom of Russia
Russo-Swedish War of 1554–1557,,,,Tsardom of Russia
Deluge,,,,Tsardom of Russia
First Russo-Turkish War,,,,Tsardom of Russia
Russo-Polish War,,,,Tsardom of Russia
Polish–Muscovite War,,,,Tsardom of Russia
Polish–Muscovite War,,,,Tsardom of Russia
Smolensk War,,,,Tsardom of Russia
Ingrian War,,,,Tsardom of Russia
Muscovite-Lithuanian War of 1487-1494,,,,Russian State
Muscovite-Lithuanian War of 1500-1503,,,,Russian State
Muscovite-Lithuanian War of 1534-1537,,,,Russian State
Muscovite-Lithuanian War of 1512-1522,,,,Russian State
Shaba II,,,,United States
Muscovite-Lithuanian War of 1507-1508,,,,Russian State
Arikara War,,,,United States
Russo-Kazan War of 1487,,,,Tsardom of Russia
Spanish–Russian War,,,,Russian Empire
Paiute War,,,,United States
Muscovite-Lithuanian War of 1561-1570,,,,Tsardom of Russia
Muscovite-Ukrainian War of 1658-1659,,,,Tsardom of Russia
Russian colonisation of Central Asia,,,,Russian Empire
Kake War,,,,United States
Eel River Battlefield War of 1812,,,,United States
Muscovite-Ukrainian War of 1674-1676,,,,Tsardom of Russia
